State,Area_Name,Rural_Urban_Continuum_Code_2003,Rural_Urban_Continuum_Code_2013,Urban_Influence_2003,Urban_Influence_2013,Economic_typology_2015,CENSUS_2020_POP,ESTIMATES_BASE_2020,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022
CA,Santa Barbara County,2,2,2,2,0,"448,229","448,217","448,244","437,434","443,837",27,"-10,810","6,403"
CA,Santa Clara County,1,1,1,1,3,"1,936,259","1,936,274","1,931,026","1,886,595","1,870,945","-5,248","-44,431","-15,650"
CA,Santa Cruz County,2,2,2,2,5,"270,861","270,869","270,462","260,495","264,370",-407,"-9,967","3,875"
CA,Shasta County,3,3,2,2,0,"182,155","182,152","181,984","181,981","180,930",-168,-3,"-1,051"
CA,Sierra County,8,8,7,7,5,"3,236","3,234","3,228","3,295","3,217",-6,67,-78
CA,Siskiyou County,7,6,11,6,0,"44,076","44,075","43,991","44,026","43,660",-84,35,-366
CA,Solano County,2,2,2,2,0,"453,491","453,490","452,698","450,350","448,747",-792,"-2,348","-1,603"
CA,Sonoma County,2,2,2,2,5,"488,863","488,875","488,281","484,315","482,650",-594,"-3,966","-1,665"
CA,Stanislaus County,2,2,2,2,0,"552,878","552,880","553,217","552,851","551,275",337,-366,"-1,576"
CA,Sutter County,3,3,2,2,0,"99,633","99,631","99,464","99,038","98,503",-167,-426,-535
CA,Tehama County,4,4,5,5,0,"65,829","65,831","65,682","65,380","65,245",-149,-302,-135
CA,Trinity County,8,8,6,6,4,"16,112","16,112","16,089","16,061","15,781",-23,-28,-280
CA,Tulare County,2,2,2,2,0,"473,117","473,117","473,891","476,946","477,544",774,"3,055",598
CA,Tuolumne County,4,4,5,5,5,"55,620","55,623","55,374","55,065","54,531",-249,-309,-534
CA,Ventura County,2,2,2,2,0,"843,843","843,843","843,310","839,358","832,605",-533,"-3,952","-6,753"
CA,Yolo County,1,1,1,1,4,"216,403","216,405","216,291","213,039","222,115",-114,"-3,252","9,076"
CA,Yuba County,3,3,2,2,4,"81,575","81,578","81,994","83,216","84,310",416,"1,222","1,094"
